url,Title,Address,logo_url,title,street,zipcode,city,kanton,phone_numbers,email,website,description,languages,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
https://www.local.ch/fr/d/prilly/1008/veterinaire/cabinet-veterinaire-de-la-charbonniere-dTjTZaigUuula2d-LWJ07A,Cabinet Vétérinaire de la Charbonnière,,,Cabinet Vétérinaire de la Charbonnière,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/oftringen/4665/veterinaire/tierklinik-mittelland-ag-Q0DW9Y8pi_wkZgT0HzFy9Q,TIERKLINIK MITTELLAND AG,,,TIERKLINIK MITTELLAND AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/berne/3008/veterinaire/anicura-bern-laupeneck-HN7AX9MDQ_cWvI6BUOkz1w,AniCura Bern Laupeneck,,,AniCura Bern Laupeneck,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/niederuzwil/9244/clinique-pour-animaux/pferdeklinik-thurland-MH_KsmoDxDZi_RkJqJlaBQ,Pferdeklinik Thurland,,,Pferdeklinik Thurland,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/zurich/8044/veterinaire/kleintierklinik-oberstrass-ag-VpCbRIe4bGHUOuWYzzCDwQ,Kleintierklinik Oberstrass AG,,,Kleintierklinik Oberstrass AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/interlaken/3800/veterinaire/tierklinik-interlaken-ag-24-7-notfalldienst-X9iqRW_39x9yZAnsZjK0cA,Tierklinik Interlaken AG - 24/7 Notfalldienst,,,Tierklinik Interlaken AG - 24/7 Notfalldienst,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/eich/6205/veterinaire/kleintierpraxis-von-werthern-gmbh-XseuRC06hdF3PwyLvRlqoA,Kleintierpraxis von Werthern GmbH,,,Kleintierpraxis von Werthern GmbH,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/ruemlang/8153/veterinaire/kleintierpraxis-burlet-tRf4SVuQxKYT2JqLcIny_w,Kleintierpraxis Burlet,,,Kleintierpraxis Burlet,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/schmerikon/8716/veterinaire/kleintierpraxis-seegarten-ag-pk4GTkSqzbGubo7581-xeA,Kleintierpraxis Seegarten AG,,,Kleintierpraxis Seegarten AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/buttikon-sz/8863/clinique-pour-animaux/kleintierpraxis-drei-hoefe-iLsXGaCxcG_LGjH0j6JVLA,Kleintierpraxis Drei Höfe,,,Kleintierpraxis Drei Höfe,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/thoune/3600/clinique-pour-animaux/anicura-tierklinik-thun-ag-L4lddZUcKWw8i1hxfdmLVg,AniCura Tierklinik Thun AG,,,AniCura Tierklinik Thun AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/ascona/6612/veterinaire/centro-veterinario-buonamano-wKy6_A5Bb33DDZBStyhksw,Centro Veterinario Buonamano,,,Centro Veterinario Buonamano,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/bachenbuelach/8184/veterinaire/kleintierpraxis-katzenpension-Sg3ZRgeD08BDPm5vRaW7uA,Kleintierpraxis Katzenpension,,,Kleintierpraxis Katzenpension,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/feusisberg/8835/veterinaire/marigin-tierklinik-zentrum-fuer-tiermedizin-SBdZXwUNIWHEjbMj8JJvaQ,Marigin Tierklinik - 24 Std. Notfalldienst - Zentrum für Tiermedizin,,,Marigin Tierklinik - 24 Std. Notfalldienst - Zentrum für Tiermedizin,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/clarens/1815/veterinaire/cabinet-veterinaire-gambetta-Lm3Td-JfFxrVkPuTFLufbA,Cabinet Vétérinaire Gambetta,,,Cabinet Vétérinaire Gambetta,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/st-imier/2610/veterinaire/cabinet-veterinaire-iszh7mo4o-DH7rVWr-zmGQ,Cabinet Vétérinaire,,,Cabinet Vétérinaire,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/netstal/8754/veterinaire/tierklinik-am-kreis-ag-x4-ptlFAwv1I6L8JZ_oLoA,Tierklinik am Kreis AG,,,Tierklinik am Kreis AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/biel-benken-bl/4105/veterinaire/tierklinik-leimental-ABlt3BClUpdUlLCShvJCfw,Tierklinik Leimental,,,Tierklinik Leimental,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/amriswil/8580/veterinaire/tierarztpraxis-im-hoelzli-uqw9ROjdw6ksZPEfc23LlA,Tierarztpraxis im Hölzli,,,Tierarztpraxis im Hölzli,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/hochdorf/6280/veterinaire/kleintierpraxis-eberli--S02zTXYYeuhaHzBx11-AA,Kleintierpraxis Eberli,,,Kleintierpraxis Eberli,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/geneve/1203/veterinaire/cabinet-veterinaire-de-st-jean-JBflpiF1_YG1GLoaPWAxEQ,Cabinet Vétérinaire de St-Jean,,,Cabinet Vétérinaire de St-Jean,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/luetzelflueh-goldbach/3432/veterinaire/tierarztpraxis-siegenthaler-ag-UxCYzXQWRXEHKELf6mGbJw,Tierarztpraxis Siegenthaler AG,,,Tierarztpraxis Siegenthaler AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/glaris/8750/veterinaire/kleintierpraxis-buchholz-gmbh-q7GbhGqI9FVLPdcQ_pgVIg,Kleintierpraxis Buchholz GmbH,,,Kleintierpraxis Buchholz GmbH,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/agno/6982/veterinaire/centro-veterinario-doc4pet-sagl-OFJ656UUec9FIWQ-mVIE0Q,Centro Veterinario Doc4Pet Sagl,,,Centro Veterinario Doc4Pet Sagl,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/oberbueren/9245/veterinaire/kleintierklinik-glattfeld-ag-wtwuC_BN23v60cGbuSZ2DQ,Kleintierklinik Glattfeld AG,,,Kleintierklinik Glattfeld AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
