title,address,link,Word
AAA Ring Taxi & Transport GmbH,"Rötzmattweg 51, 4600 Olten",https://www.local.ch/fr/d/olten/4600/taxi/aaa-ring-taxi-transport-gmbh-yxZwqvmXQVFdo_ykkHXwyA,Clinique vétérinaire
BLITZ TAXI AARAU,"Bahnhofplatz 3C, 5000 Aarau",https://www.local.ch/fr/d/aarau/5000/taxi/blitz-taxi-aarau--jj20r5Zb3Ih3O-zSKlK4Q,Clinique vétérinaire
CLAUDIO PRATO Taxi Minibus Limousine,"Via Filagna 8, 6614 Brissago",https://www.local.ch/fr/d/brissago/6614/taxi/claudio-prato-taxi-minibus-limousine-GA70T1KsS7-Klbx6VU3_ow,Clinique vétérinaire
ILG-TAXI GmbH,"Bahnhofplatz 75, 8500 Frauenfeld",https://www.local.ch/fr/d/frauenfeld/8500/taxi/ilg-taxi-gmbh-s-J2Cz81T41JVNC_dJ5_gw,Clinique vétérinaire
NCC Lugano Atlas Group,"Via Luigi Monteverde 3, 6964 Davesco-Soragno",https://www.local.ch/fr/d/davesco-soragno/6964/taxi/ncc-lugano-atlas-group-kn-cJS8ey5-u92K9v_BKnw,Clinique vétérinaire
Taxi Chaplin,"Avenue de Corsier 11, 1800 Vevey",https://www.local.ch/fr/d/vevey/1800/taxi/taxi-chaplin-dFXDuupIPWlmv-wKOayKkw,Clinique vétérinaire
AA Sissacher Taxi GmbH,"Hauptstrasse 55, 4450 Sissach",https://www.local.ch/fr/d/sissach/4450/taxi/aa-sissacher-taxi-gmbh-T1LMg5_49mOAr7GMOFaOBQ,Clinique vétérinaire
ABC TAXI Lugano | ANDY TAXI Tesserete,"Via Tesserete 8, 6900 Lugano",https://www.local.ch/fr/d/lugano/6900/taxi/abc-taxi-lugano-andy-taxi-tesserete-BnSkLJptchVrkmdotuRgOg,Clinique vétérinaire
Abi Taxi und Behindertentransport,"Madretschstrasse 133, 2503 Bienne",https://www.local.ch/fr/d/bienne/2503/taxi/abi-taxi-und-behindertentransport-PicumyG4cOoyuxdKUcxivQ,Clinique vétérinaire
Alpha Taxi Chur,"Masanserstrasse 178A, 7000 Coire",https://www.local.ch/fr/d/coire/7000/taxi/alpha-taxi-chur-TNuanPIltUYsu_VKCZ8FTw,Clinique vétérinaire
Blitz Taxi Express Taxi,"Aufwiesenstrasse 4, 8305 Dietlikon",https://www.local.ch/fr/d/dietlikon/8305/taxi/blitz-taxi-express-taxi--ZKvNLzdCaLoCIexOr71Nw,Clinique vétérinaire
Budget Taxi Bern,"Sulgenrain 27, 3007 Berne",https://www.local.ch/fr/d/berne/3007/taxi/budget-taxi-bern-AWSqT6Ot7-sgoQa-_4yrxA,Clinique vétérinaire
Budgettaxi 24.ch,"Zürichstrasse 94, 8600 Dübendorf",https://www.local.ch/fr/d/duebendorf/8600/taxi/budgettaxi-24-ch-PiyFFVIDr7j4B0WKnwotYA,Clinique vétérinaire
CASA- & Sihltal-Taxi,"Florastrasse 2, 8134 Adliswil",https://www.local.ch/fr/d/adliswil/8134/taxi/casa-sihltal-taxi-c-Bt88u90liqGWXWw3Qybg,Clinique vétérinaire
CASA- & Sihltal-Taxi,"Stockenstrasse 75, 8802 Kilchberg ZH",https://www.local.ch/fr/d/kilchberg-zh/8802/taxi/casa-sihltal-taxi-hcwn8F7GIUDb4aZXuEW_Sw,Clinique vétérinaire
"Taxi Schmid ""Taxi- und Kleinbusbetrieb""","Hoppihohstrasse 8, 8260 Stein am Rhein",https://www.local.ch/fr/d/stein-am-rhein/8260/taxi/taxi-schmid-taxi-und-kleinbusbetrieb-toh7u-ORoahZzF22brJ37w,Clinique vétérinaire
Taxi Toni,"Rosenstrasse 33, 9500 Wil SG",https://www.local.ch/fr/d/wil-sg/9500/taxi/taxi-toni-Z__3A7WQ3H6Hns2UhsByfw,Clinique vétérinaire
Zuger Taxi,"Fridbachweg 19, 6300 Zoug",https://www.local.ch/fr/d/zoug/6300/taxi/zuger-taxi--mVIPPpMPUyOGuY-LJDsPw,Clinique vétérinaire
Taxi Wolfi,"Im Oberfeld 4, 9490 Vaduz",https://www.local.ch/fr/d/vaduz/9490/taxi/taxi-wolfi-A1GbZDZIg45rQGIuuUlOeQ,Clinique vétérinaire
Pronto Taxi GmbH,"Kirchgasse 35, 8706 Meilen",https://www.local.ch/fr/d/meilen/8706/taxi/pronto-taxi-gmbh-KRJwTMughFkzP1CE7z00xQ,Clinique vétérinaire
ANDY TAXI Tesserete - Lugano,"Via Luigi Canonica 11, 6950 Tesserete",https://www.local.ch/fr/d/tesserete/6950/taxi/andy-taxi-tesserete-lugano-wcX3_6PM3kAIW0USRpwqtw,Clinique vétérinaire
CABINET VETERINAIRE DE VILLEREUSE SA,"Rue de Villereuse 7, 1207 Genève",https://www.local.ch/fr/d/geneve/1207/veterinaire/cabinet-veterinaire-de-villereuse-sa-qa1i1o2qsP0hymmh_mpAjg,Centre vétérinaire
Dr. med. vet. Bachmann Max,"Urdorferstrasse 68, 8952 Schlieren",https://www.local.ch/fr/d/schlieren/8952/veterinaire/dr-med-vet-bachmann-max-o6SChkcDtXxBx1vQSLRw9w,Centre vétérinaire
Cabinet vétérinaire des Terreaux,"Rue des Terreaux 1, 1304 Cossonay-Ville",https://www.local.ch/fr/d/cossonay-ville/1304/veterinaire/cabinet-veterinaire-des-terreaux-fzMjYK_RSV3crBzhD7KaHw,Centre vétérinaire
Pharmacie de la Fontenette SA,"Rue de la Fontenette 23, 1227 Carouge GE",https://www.local.ch/fr/d/carouge-ge/1227/pharmacie/pharmacie-de-la-fontenette-sa-C3UCvR_HePotQxaKbvpCSQ,Centre vétérinaire
Kleintierpraxis Sempach,"Seestrasse 1, 6204 Sempach",https://www.local.ch/fr/d/sempach/6204/veterinaire/kleintierpraxis-sempach-59mHb94pmIP8ZWapm-46Ig,Centre vétérinaire
Kleintier- & Akupunkturpraxis Adlergarten,"Adlergartenstrasse 66, 6467 Schattdorf",https://www.local.ch/fr/d/schattdorf/6467/veterinaire/kleintier-akupunkturpraxis-adlergarten-otwMAqhWEhh2CQuDCpCbUQ,Centre vétérinaire
ZeVet - Cabinet vétérinaire,"Chemin de la Fin 2, 1291 Commugny",https://www.local.ch/fr/d/commugny/1291/veterinaire/zevet-cabinet-veterinaire-_rCTJ-DNT0wtmb_MYooWmA,Centre vétérinaire
Kleintierpraxis Dr. Claudia Keller,"Leeacherstrasse 21, 8123 Ebmatingen",https://www.local.ch/fr/d/ebmatingen/8123/veterinaire/kleintierpraxis-dr-claudia-keller-MFvqSAA4yFEgMh433q9sqw,Centre vétérinaire
Cabinet Vétérinaire des Promenades,"Boulevard des Promenades 22, 1227 Carouge GE",https://www.local.ch/fr/d/carouge-ge/1227/veterinaire/cabinet-veterinaire-des-promenades-gbojZdzY8gSgrqDNkktcXA,Centre vétérinaire
Centro Veterinario Preluna,"Via Preluna 24, 6949 Comano",https://www.local.ch/fr/d/comano/6949/veterinaire/centro-veterinario-preluna-mnVwy2ikuGDAtj9c_k8G5Q,Centre vétérinaire
Tierarztpraxis Keller,"Bettlachstrasse 54, 2540 Granges SO",https://www.local.ch/fr/d/granges-so/2540/veterinaire/tierarztpraxis-keller-lCr-huYrJ6NYdCwzcSVFyw,Centre vétérinaire
Cabinet vétérinaire Vetémotions anciennement Vetopassion,"Avenue Haldimand 16, 1400 Yverdon-les-Bains",https://www.local.ch/fr/d/yverdon-les-bains/1400/veterinaire/cabinet-veterinaire-vetemotions-anciennement-vetopassion-tzEHPTIUbdo-ynYRgRbS5A,Centre vétérinaire
Tierarzt Zentrum & Katzenhotel Bülach,"Bahnhofstrasse 3, 8180 Bülach",https://www.local.ch/fr/d/buelach/8180/veterinaire/tierarzt-zentrum-katzenhotel-buelach-owJBSyVEnoOJnllfAZZZJw,Centre vétérinaire
Kleintierpraxis Zur alten Mühle,"Hauptstrasse 63, 4147 Aesch",https://www.local.ch/fr/d/baselweg-4147-aesch-bl/4147/veterinaire/kleintierpraxis-zur-alten-muehle-5JwzhWr6mSSWacv7SQXa4A,Centre vétérinaire
Cabinet vétérinaire du Sorby,"Rue des Charpentiers 24A, 1110 Morges",https://www.local.ch/fr/d/morges/1110/veterinaire/cabinet-veterinaire-du-sorby-MYeoCxz8u2g2hE5ufZao0A,Centre vétérinaire
4-Pfoten Coaching Nicole Pirola,"Culögnas 33, 7502 Bever",https://www.local.ch/fr/d/bever/7502/dressage-de-chien/4-pfoten-coaching-nicole-pirola-V59Hpne_OEuhD_jHXBGbXQ,Centre vétérinaire
Kleintier- und Pferdepraxis im Dorf AG,"Adetswilerstrasse 3A, 8344 Bäretswil",https://www.local.ch/fr/d/baeretswil/8344/veterinaire/kleintier-und-pferdepraxis-im-dorf-ag-9r0xmxeK0XV25vj7Vb28hg,Centre vétérinaire
Kleintierpraxis Immoos,"Einschlagstrasse 7, 5726 Unterkulm",https://www.local.ch/fr/d/unterkulm/5726/veterinaire/kleintierpraxis-immoos-ZTxngmCvUaZYtH_SHfBzLQ,Centre vétérinaire
Las Veterinarias Sa,"Stradun 404, 7550 Scuol",https://www.local.ch/fr/d/scuol/7550/veterinaire/las-veterinarias-sa-3Ivp3NOq6ULCJWGHwt_U2A,Centre vétérinaire
Kleintierpraxis Meilana AG,"Dorfstrasse 214, 8706 Meilen",https://www.local.ch/fr/d/meilen/8706/veterinaire/kleintierpraxis-meilana-ag-Z3yXDq6W5cPazLxdmcjbaQ,Centre vétérinaire
VetPhalen Sàrl,"Rue du Simplon 2, 1800 Vevey",https://www.local.ch/fr/d/vevey/1800/veterinaire/vetphalen-sarl-D0hEeug9LkldgvLDfB8LcQ,Centre vétérinaire
Marigin Tierarztpraxis Adliswil,"Zürichstrasse 6, 8134 Adliswil",https://www.local.ch/fr/d/adliswil/8134/veterinaire/marigin-tierarztpraxis-adliswil-Nvbrdw-N9gZrZNuE94mJrw,Centre vétérinaire
Kleintierpraxis Nidauer Hof AG,"Hauptstrasse 20, 2560 Nidau",https://www.local.ch/fr/d/nidau/2560/veterinaire/kleintierpraxis-nidauer-hof-ag-omrPts_EawZXYrbUH2MeSQ,Centre vétérinaire
Kleintierpraxis Elisabeth Vetsch,"Chrüzgassa 10, 7214 Grüsch",https://www.local.ch/fr/d/gruesch/7214/veterinaire/kleintierpraxis-elisabeth-vetsch-ADVJD7O0GT7PL5yuvFCdqA,Centre vétérinaire
INDIKA-animalreha SA,"Route de la Rougève 74, 1623 Semsales",https://www.local.ch/fr/d/semsales/1623/osteopathie-pour-animaux/indika-animalreha-sa-BgAQ1q-xe9CeHMuGuGXHSA,Centre vétérinaire
Kleintierpraxis Staub,"Nordstrasse 6, 8840 Einsiedeln",https://www.local.ch/fr/d/einsiedeln/8840/veterinaire/kleintierpraxis-staub-Q7nfnQwxWgLv98Kbt1u_Rg,Centre vétérinaire
Klink Bettina,"Dörflistrasse 55, 8050 Zurich",https://www.local.ch/fr/d/zurich/8050/veterinaire/klink-bettina-n0wJnwafbfWUUrheJ-3ZJA,Centre vétérinaire
Kleintierpraxis Dr. Witschi,"Meisenweg 1, 3053 Münchenbuchsee",https://www.local.ch/fr/d/muenchenbuchsee/3053/veterinaire/kleintierpraxis-dr-witschi--zhEzlzzjEVUcu3wjP5_pg,Centre vétérinaire
Cabinet Vétérinaire de la Blécherette Sa,"Chemin du Petit-Flon 30, 1052 Le Mont-sur-Lausanne",https://www.local.ch/fr/d/le-mont-sur-lausanne/1052/veterinaire/cabinet-veterinaire-de-la-blecherette-sa-RE48wyplVwDKOVlHWdYIzA,Centre vétérinaire
Mobile Kleintier- Praxis,"Solothurnstrasse 28, 2543 Longeau",https://www.local.ch/fr/d/longeau/2543/veterinaire/mobile-kleintier-praxis-gARU8ZqMO0S_2pY8hzWsMw,Centre vétérinaire
Kleintierpraxis Complevet GmbH,"Bielstrasse 1, 3294 Büren an der Aare",https://www.local.ch/fr/d/bueren-an-der-aare/3294/veterinaire/kleintierpraxis-complevet-gmbh-42yPY21bv1VrgC6BuN3kzQ,Centre vétérinaire
Tierarztpraxis am Bahnhof,"Frutigenstrasse 8, 3600 Thoune",https://www.local.ch/fr/d/thoune/3600/veterinaire/tierarztpraxis-am-bahnhof-X5-PM-pYnpz0Uq8N69x1lA,Centre vétérinaire
Miccichè Walzinger Sarah,"Rue du Vieux Chalet 24, 1635 La Tour-de-Trême",https://www.local.ch/fr/d/la-tour-de-treme/1635/veterinaire/micciche-walzinger-sarah-FkXVKMLPunvz7EH25CwMSA,Centre vétérinaire
Tierarztpraxis am Rössliplatz AG,"Altishoferstrasse 2, 6252 Dagmersellen",https://www.local.ch/fr/d/dagmersellen/6252/veterinaire/tierarztpraxis-am-roessliplatz-ag-qiDu2rBgCqFvzIZHPlaTGw,Centre vétérinaire
Cabinet vétérinaire de l'Europe SA,"Avenue de l'Europe 64, 1870 Monthey",https://www.local.ch/fr/d/monthey/1870/veterinaire/cabinet-veterinaire-de-l-europe-sa-SJY_fT2UcX-wMz01uXWPeA,Centre vétérinaire
horsefit B. Weber Pferdezahnbehandlungen und Osteopathie,"Hasenmattstrasse 11, 4514 Lommiswil",https://www.local.ch/fr/d/lommiswil/4514/veterinaire/horsefit-b-weber-pferdezahnbehandlungen-und-osteopathie-wi001bWUeUFuTUg_VyB9zw,Centre vétérinaire
amico mio di Braga,"Piazza Stefano Franscini 7, 6760 Faido",https://www.local.ch/fr/d/faido/6760/alimentation-animale/amico-mio-di-braga-CJWnuXSrPFLqISlNYU1zvw,Centre vétérinaire
Cabinet vétérinaire des 3 Sapins,"Rue de l'Hôtel de Ville 2, 1627 Vaulruz",https://www.local.ch/fr/d/vaulruz/1627/veterinaire/cabinet-veterinaire-des-3-sapins-qmHqrll6IP41NaYa5U8FLA,Centre vétérinaire
AG für Tiergesundheit,"Hauptstrasse 15, 6222 Gunzwil",https://www.local.ch/fr/d/gunzwil/6222/veterinaire/ag-fuer-tiergesundheit-EfMRI5K1NXM1JC8MecZ2hw,Centre vétérinaire
Centro Veterinario alla Ressiga SA,"Via alle Gerre 18, 6512 Giubiasco",https://www.local.ch/fr/d/giubiasco/6512/veterinaire/centro-veterinario-alla-ressiga-sa-aG5CR5jXa4WileKrIeVRyg,Centre vétérinaire
Cabinet Vétérinaire de Vésenaz,"Route d'Hermance 8, 1222 Vésenaz",https://www.local.ch/fr/d/vesenaz/1222/veterinaire/cabinet-veterinaire-de-vesenaz-P2IA0gukTch8ogaTysopyA,Centre vétérinaire
Kleintierpraxis Erlenbach,"Bahnhofstrasse 20, 8703 Erlenbach ZH",https://www.local.ch/fr/d/erlenbach-zh/8703/veterinaire/kleintierpraxis-erlenbach-VcEwdsqD8MaBh-hbwWDKqQ,Centre vétérinaire
Cabinet Vétérinaire Bestiaire du Rhône,"Chemin du 23 Août 4, 1205 Genève",https://www.local.ch/fr/d/geneve/1205/veterinaire/cabinet-veterinaire-bestiaire-du-rhone-BUCsOAHdtaE1urOUqdEz7g,Centre vétérinaire
Kleintierpraxis Camen,"Neue Jonastrasse 54, 8640 Rapperswil SG",https://www.local.ch/fr/d/rapperswil-sg/8640/veterinaire/kleintierpraxis-camen-o4trtbKI6wgpH2nSgxGxuA,Centre vétérinaire
Cabinet Vétérinaire de la Forge Sàrl,"Chemin de la Forge 9, 1867 Ollon VD",https://www.local.ch/fr/d/ollon-vd/1867/veterinaire/cabinet-veterinaire-de-la-forge-sarl-LjFyH6Fa3rKlOPwa5FVPEA,Centre vétérinaire
AniCura Centre vétérinaire Ecublens,"Route de Vallaire 102, 1024 Ecublens VD",https://www.local.ch/fr/d/ecublens-vd/1024/veterinaire/anicura-centre-veterinaire-ecublens-mSYZWWcuMyx7ooV4YVNbXg,Centre vétérinaire
Centre Vétérinaire du Château,"Place du Château 7, 1040 Echallens",https://www.local.ch/fr/d/echallens/1040/centre-veterinaire-du-chateau-X8PMqjxBFj3uI1Oo2ZOjJA,Centre vétérinaire
sovet centre vétérinaire équin et rural,"Soveillame 6, 1304 Senarclens",https://www.local.ch/fr/d/senarclens/1304/sovet-centre-veterinaire-equin-et-rural-3bJoFTcudx5yoQIbn9Hc3g,Centre vétérinaire
AniCura Cabinet vétérinaire Lausanne Centre,"Rue Marterey 52, 1005 Lausanne",https://www.local.ch/fr/d/lausanne/1005/veterinaire/anicura-cabinet-veterinaire-lausanne-centre-RT8dMT6nsEmETOTPL8RqlA,Centre vétérinaire
Centre d'Urgence EVC - Centre administratif,"Chemin des Fontenailles 4, 1196 Gland",https://www.local.ch/fr/d/gland/1196/veterinaire/centre-d-urgence-evc-centre-administratif-QOC7DtooCxFg7AmNmQZmEA,Centre vétérinaire
Centre d'Urgence EVC Etoy,"Route de Buchillon 1, 1163 Etoy",https://www.local.ch/fr/d/etoy/1163/veterinaire/centre-d-urgence-evc-etoy-YCodLAPYC3AviMPnrG-pYQ,Centre vétérinaire
Centro Veterinario Cornaredo,"Via Chiosso 6, 6948 Porza",https://www.local.ch/fr/d/porza/6948/veterinaire/centro-veterinario-cornaredo-dkJHkzIa3XK33_VgQjopLA,Centre vétérinaire
Centro Veterinario Rivapiana,"Via Rinaldo Simen 47, 6648 Minusio",https://www.local.ch/fr/d/minusio/6648/veterinaire/centro-veterinario-rivapiana-DUuZmIHAiIVXeWJaZAgF8A,Centre vétérinaire
centro veterinario Orso Bruno,"Strada Ponte di Valle 26A, 6964 Davesco-Soragno",https://www.local.ch/fr/d/davesco-soragno/6964/veterinaire/centro-veterinario-orso-bruno-MedQ9qgNt1zOwDf7y3908g,Centre vétérinaire
Centro Veterinario 3 Valli Sagl,"Via al Brenno 10, 6742 Pollegio",https://www.local.ch/fr/d/pollegio/6742/veterinaire/centro-veterinario-3-valli-sagl-RQdrXjb2RkoxlOqGNunzfQ,Centre vétérinaire
Centro Veterinario Al Piano _ Mobivet Ticino,"Via Cantonale 29, 6594 Contone",https://www.local.ch/fr/d/contone/6594/veterinaire/centro-veterinario-al-piano-mobivet-ticino-g_Y-ItpkBZfY9knubZt8Bw,Centre vétérinaire
Centro Veterinario Girard e Gabucci,"Via Cantonale 3, 6944 Cureglia",https://www.local.ch/fr/d/cureglia/6944/veterinaire/centro-veterinario-girard-e-gabucci-oiC-qjq-Si_vZl9iGLBwYw,Centre vétérinaire
dr. med. vet. Albanova Centro Veterinario per piccoli animali,"Via Battista Foletti 17, 6900 Massagno",https://www.local.ch/fr/d/massagno/6900/veterinaire/dr-med-vet-albanova-centro-veterinario-per-piccoli-animali-YdWcGF6lmBFlqSE3IgRJ_w,Centre vétérinaire
Dr méd. vét. Bourquin-Feusier Natacha,"Rue de l'Ecluse 12, 2000 Neuchâtel",https://www.local.ch/fr/d/neuchatel/2000/veterinaire/dr-med-vet-bourquin-feusier-natacha-06wwByuAKniSLy1NVW-Wmg,Centre vétérinaire
centro veterinario alla Ressiga SA,"Via alle Gerre 18, 6512 Giubiasco",https://www.local.ch/fr/d/giubiasco/6512/veterinaire/centro-veterinario-alla-ressiga-sa-2syBaEjJF6KlX_TFqiIXhg,Centre vétérinaire
Dr méd. vét. Gentsch-Baumberger Line,"Rue de l'Ecluse 12, 2000 Neuchâtel",https://www.local.ch/fr/d/neuchatel/2000/veterinaire/dr-med-vet-gentsch-baumberger-line-_urArFLZjrnEAvlefAt5Kw,Centre vétérinaire
VetOptic,"Chemin des Boveresses 166, 1066 Epalinges",https://www.local.ch/fr/d/epalinges/1066/veterinaire/vetoptic--i7xSiqI8bLkjTYEBneuGw,Centre vétérinaire
Gozzoli Luciano,"Via Carlo Diener 1, 6850 Mendrisio",https://www.local.ch/fr/d/mendrisio/6850/veterinaire/gozzoli-luciano-GJWAWvsYib-TIBxWhXh-uQ,Centre vétérinaire
tiVET,"Via Cantonale 42A, 6595 Riazzino",https://www.local.ch/fr/d/riazzino/6595/veterinaire/tivet-3Bioz6yWuIn3cEu7Cmu0-g,Centre vétérinaire
Laboratoire vétérinaire,"Rue Jehanne-de-Hochberg 5, 2000 Neuchâtel",https://www.local.ch/fr/d/neuchatel/2000/laboratoire/laboratoire-veterinaire-xZqUzoSn4grqpOP7eoPfTQ,Centre vétérinaire
Ame Arc-En-Ciel Centre de Thérapies Holistiques,"Promenade des Champs-Fréchets 30, 1217 Meyrin",https://www.local.ch/fr/d/meyrin/1217/kinesiologie/ame-arc-en-ciel-centre-de-therapies-holistiques-GU7DNypTVhVJjwaI3E6UZQ,Centre vétérinaire
